event,year,era,deaths,homes,unit_type,unit_index
Black Friday VIC,1939,Pre-2000,71,3700,homes,23
Black Friday VIC,1939,Pre-2000,71,3700,homes,24
Black Friday VIC,1939,Pre-2000,71,3700,homes,25
Black Friday VIC,1939,Pre-2000,71,3700,homes,26
Black Friday VIC,1939,Pre-2000,71,3700,homes,27
Black Friday VIC,1939,Pre-2000,71,3700,homes,28
Black Friday VIC,1939,Pre-2000,71,3700,homes,29
Black Friday VIC,1939,Pre-2000,71,3700,homes,30
Black Friday VIC,1939,Pre-2000,71,3700,homes,31
Black Friday VIC,1939,Pre-2000,71,3700,homes,32
Black Friday VIC,1939,Pre-2000,71,3700,homes,33
Black Friday VIC,1939,Pre-2000,71,3700,homes,34
Black Friday VIC,1939,Pre-2000,71,3700,homes,35
Black Friday VIC,1939,Pre-2000,71,3700,homes,36
Black Friday VIC,1939,Pre-2000,71,3700,homes,37
Black Friday VIC,1939,Pre-2000,71,3700,deaths,1
Black Friday VIC,1939,Pre-2000,71,3700,deaths,2
Black Friday VIC,1939,Pre-2000,71,3700,deaths,3
Black Friday VIC,1939,Pre-2000,71,3700,deaths,4
Black Friday VIC,1939,Pre-2000,71,3700,deaths,5
